Image,Segment,Parameters,IoU
DSC_0562 2023-10-02 21_20_57.JPG,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.16109707306801432
DSC_0562 2023-10-02 21_20_57.JPG,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.23053070807865556
DSC_0562 2023-10-02 21_20_57.JPG,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.23712348635612374
DSC_0562 2023-10-02 21_20_57.JPG,3,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.15231552948440877
DSC_0562 2023-10-02 21_20_57.JPG,4,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.21320428115171758
DSC_0562 2023-10-02 21_20_57.JPG,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.198854215627784
DSC_0798 2023-10-05 12_04_19.JPG,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.6018835616438356
DSC_0798 2023-10-05 12_04_19.JPG,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.5092980542960455
DSC_0798 2023-10-05 12_04_19.JPG,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.5516901282166233
DSC_0798 2023-10-05 12_04_19.JPG,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.5542905813855015
DSC_1054 2023-10-02 21_37_15.JPG,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.3404527296937417
DSC_1054 2023-10-02 21_37_15.JPG,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.15989074180563542
DSC_1054 2023-10-02 21_37_15.JPG,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.25017173574968854
DSC_2307 2024-02-04 10_28_28.JPG,0,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.42651938526021654
DSC_2307 2024-02-04 10_28_28.JPG,1,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.3916292380460273
DSC_2307 2024-02-04 10_28_28.JPG,2,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.32150213912216763
DSC_2307 2024-02-04 10_28_28.JPG,3,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.11876460428731078
DSC_2307 2024-02-04 10_28_28.JPG,all,"{'K': 5, 'RADIUS': 104, 'TAU': 1.25, 'N_SUPERPIXELS': 220, 'N_KEYPOINTS': 9000, 'SIGMA': 3, 'W': 9, 'ALPHA': 1.0, 'ksize': 3, 'clipLimit': 2.0, 'tileGridSize': (8, 8), 'D': 9, 'GAMMA': 0.8, 'COMPACTNESS': 20, 'keypoints_detection_method': 'canny', 'sigma_color': 100, 'sigma_space': 75}",0.3146038416789306
